shifr,nazva_normy,odynytsya,typ_resursu,kod,nazva_resursu,odynytsya_resursu,vytrata,tsina_uah,vartist_uah,priorytet_prytulok
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.323,95.0,125.69,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.742,110.0,191.62,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6115,1200,1933.79,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2743,700,892.03,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.53,55,1349.15,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2265,120,147.18,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.149,95.0,109.16,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.611,110.0,177.21,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6243,1200,1949.2,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2829,700,898.02,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.71,55,1359.05,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2356,120,148.27,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.166,95.0,110.77,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.624,110.0,178.64,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.619,1200,1942.76,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2793,700,895.52,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.64,55,1355.2,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2318,120,147.82,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.159,95.0,110.11,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.619,110.0,178.09,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7225,1200,2067.0,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3483,700,943.84,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,26.1,55,1435.5,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3051,120,156.61,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.297,95.0,123.21,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.723,110.0,189.53,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5145,1200,1817.34,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2096,700,846.74,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.15,55,1273.25,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1577,120,138.92,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.019,95.0,96.8,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.514,110.0,166.54,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5151,1200,1818.14,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2101,700,847.05,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.16,55,1273.8,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1582,120,138.98,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.02,95.0,96.9,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.515,110.0,166.65,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.622,1200,1946.42,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2813,700,896.94,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.68,55,1357.4,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2339,120,148.07,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.163,95.0,110.48,True
1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.622,110.0,178.42,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5099,1200,1811.85,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2066,700,844.61,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.09,55,1269.95,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1545,120,138.54,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.013,95.0,96.23,True
1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.51,110.0,166.1,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7539,1200,2104.71,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3693,700,958.5,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,26.55,55,1460.25,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3274,120,159.29,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.339,95.0,127.2,True
1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.754,110.0,192.94,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6788,1200,2014.57,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3192,700,923.45,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.48,55,1401.4,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2742,120,152.9,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.238,95.0,117.61,True
1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.679,110.0,184.69,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.667,1200,2000.35,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3113,700,917.91,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.32,55,1392.6,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2658,120,151.9,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.223,95.0,116.19,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.667,110.0,183.37,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7078,1200,2049.39,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3386,700,936.99,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.89,55,1423.95,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2947,120,155.36,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.277,95.0,121.31,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.708,110.0,187.88,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.796,1200,2155.22,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3973,700,978.14,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,27.14,55,1492.7,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3572,120,162.86,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.395,95.0,132.53,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.796,110.0,197.56,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5391,1200,1846.94,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2261,700,858.26,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.5,55,1292.5,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1752,120,141.02,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.052,95.0,99.94,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.539,110.0,169.29,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5192,1200,1823.02,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2128,700,848.95,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.22,55,1277.1,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1611,120,139.33,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.026,95.0,97.47,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.519,110.0,167.09,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5418,1200,1850.13,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2278,700,859.49,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.54,55,1294.7,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1771,120,141.25,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.056,95.0,100.32,True
1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.542,110.0,169.62,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6287,1200,1954.41,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2858,700,900.05,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.77,55,1362.35,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2387,120,148.64,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.172,95.0,111.34,True
1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.629,110.0,179.19,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7159,1200,2059.02,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3439,700,940.73,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,26.01,55,1430.55,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3004,120,156.05,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.288,95.0,122.36,True
1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.716,110.0,188.76,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 10 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3482,850,1145.96,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 10 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.46,55,630.3,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 10 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.573,120,68.76,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 10 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.022,95.0,97.09,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 10 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.348,110.0,148.28,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 10 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.2974,850,1102.76,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 10 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.03,55,606.65,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 10 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5514,120,66.17,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 10 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.946,95.0,89.87,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 10 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.297,110.0,142.67,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 20 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3032,850,1107.73,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 20 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.08,55,609.4,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 20 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5539,120,66.47,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 20 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.955,95.0,90.72,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 20 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.303,110.0,143.33,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 20 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3849,850,1177.14,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 20 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.77,55,647.35,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 20 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5886,120,70.63,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 20 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.077,95.0,102.31,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 20 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.385,110.0,152.35,True
1-3-5,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 40 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3223,850,1123.97,True
1-3-5,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 40 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.24,55,618.2,True
1-3-5,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 40 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.562,120,67.44,True
1-3-5,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 40 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.983,95.0,93.39,True
1-3-5,Розробка і переміщення ґрунту 1 групи бульдозером на відстань до 40 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.322,110.0,145.42,True
1-3-6,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 40 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.2263,850,1042.38,True
1-3-6,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 40 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,10.42,55,573.1,True
1-3-6,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 40 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5212,120,62.54,True
1-3-6,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 40 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.839,95.0,79.7,True
1-3-6,Розробка і переміщення ґрунту 2 групи бульдозером на відстань до 40 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.226,110.0,134.86,True
1-3-7,Планування площ бульдозером,1000 м2,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3261,850,1127.17,True
1-3-7,Планування площ бульдозером,1000 м2,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.27,55,619.85,True
1-3-7,Планування площ бульдозером,1000 м2,матеріал,С300-2,Мастильні матеріали,кг,0.5636,120,67.63,True
