typ,kod,nazva,odynytsya,kilkist,tsina_uah,vartist_uah
матеріал,С157-1,"Цвяхи, кріплення",кг,175.0,55,9625.0
матеріал,С135-1,Розчин мурувальний,м3,4.32,2200,9504.0
матеріал,С134-1,Камінь бутовий,м3,10.5,900,9450.0
матеріал,С300-1,Пальне дизельне (орієнтовно),л,164.87,55,9068.01
матеріал,С136-1,Риштування інвентарні (амортизація),м2,350.0,25,8750.0
матеріал,С135-1,Розчин мурувальний М50–М75,м3,3.8,2200,8360.0
матеріал,С164-2,Плінтус,м,88.0,70,6160.0
матеріал,С212-m,Сталь кругла / кутик для заземлення,кг,157.5,35,5512.5
матеріал,С171-2,Кріплення,компл,120.0,40,4800.0
матеріал,С158-1,Антисептик,л,52.5,80,4200.0
матеріал,С213-m,Провідник заземлення,м,87.5,40,3500.0
матеріал,С121-1,Вода,м3,44.6,40,1784.0
матеріал,С135-1,Розчин для закладення стиків,м3,0.48,2200,1056.0
матеріал,С300-2,Мастильні матеріали,кг,8.24,120,989.32
матеріал,С301-1,Допоміжні матеріали,компл,1.5,150,225.0
