shifr,nazva_normy,odynytsya,typ_resursu,kod,nazva_resursu,odynytsya_resursu,vytrata,tsina_uah,vartist_uah,priorytet_prytulok
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.532,110.0,168.52,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6215,1200,1945.81,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.281,700,896.7,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.67,55,1356.85,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2336,120,148.03,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.162,95.0,110.39,True
1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.622,110.0,178.42,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5789,1200,1894.7,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2526,700,876.83,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.07,55,1323.85,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2034,120,144.41,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.105,95.0,104.97,True
1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.579,110.0,173.69,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.597,1200,1916.44,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2647,700,885.28,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.32,55,1337.6,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2162,120,145.94,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.129,95.0,107.25,True
1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.597,110.0,175.67,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6089,1200,1930.72,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2726,700,890.83,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.49,55,1346.95,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2246,120,146.95,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.145,95.0,108.78,True
1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.609,110.0,176.99,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7342,1200,2081.05,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3561,700,949.3,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,26.27,55,1444.85,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3134,120,157.61,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.312,95.0,124.64,True
1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.734,110.0,190.74,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.667,1200,2000.35,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3113,700,917.91,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.32,55,1392.6,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2658,120,151.9,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.223,95.0,116.19,True
1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.667,110.0,183.37,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7078,1200,2049.39,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3386,700,936.99,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.89,55,1423.95,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2947,120,155.36,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.277,95.0,121.31,True
1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.708,110.0,187.88,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.796,1200,2155.22,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3973,700,978.14,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,27.14,55,1492.7,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3572,120,162.86,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.395,95.0,132.53,True
1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.796,110.0,197.56,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5391,1200,1846.94,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2261,700,858.26,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.5,55,1292.5,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1752,120,141.02,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.052,95.0,99.94,True
1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.539,110.0,169.29,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5192,1200,1823.02,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2128,700,848.95,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.22,55,1277.1,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1611,120,139.33,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.026,95.0,97.47,True
1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.519,110.0,167.09,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3889,850,1180.58,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.81,55,649.55,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5903,120,70.84,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.083,95.0,102.88,True
1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.389,110.0,152.79,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3671,850,1161.99,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.62,55,639.1,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.581,120,69.72,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.051,95.0,99.84,True
1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.367,110.0,150.37,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3161,850,1118.71,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.19,55,615.45,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5593,120,67.12,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.974,95.0,92.53,True
1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.316,110.0,144.76,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.2445,850,1057.84,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,10.58,55,581.9,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5289,120,63.47,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.867,95.0,82.36,True
1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.245,110.0,136.95,True
1-3-5,Планування площ бульдозером,1000 м2,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.3261,850,1127.17,True
1-3-5,Планування площ бульдозером,1000 м2,матеріал,С300-1,Пальне дизельне (орієнтовно),л,11.27,55,619.85,True
1-3-5,Планування площ бульдозером,1000 м2,матеріал,С300-2,Мастильні матеріали,кг,0.5636,120,67.63,True
1-3-5,Планування площ бульдозером,1000 м2,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.989,95.0,93.95,True
1-3-5,Планування площ бульдозером,1000 м2,труд_машиністів,Т2,Труд машиністів,люд.-год,1.326,110.0,145.86,True
1-4-1,Розробка ґрунту 1 групи вручну в котлованах,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-4-1,Розробка ґрунту 1 групи вручну в котлованах,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,46.476,95.0,4415.22,True
1-4-2,Розробка ґрунту 2 групи вручну в котлованах,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-4-2,Розробка ґрунту 2 групи вручну в котлованах,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,46.748,95.0,4441.06,True
1-4-3,Розробка ґрунту 3 групи вручну в котлованах,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-4-3,Розробка ґрунту 3 групи вручну в котлованах,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,52.633,95.0,5000.14,True
1-4-4,Розробка ґрунту 1 групи вручну в траншеях,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-4-4,Розробка ґрунту 1 групи вручну в траншеях,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,52.216,95.0,4960.52,True
1-4-5,Розробка ґрунту 2 групи вручну в траншеях,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-4-5,Розробка ґрунту 2 групи вручну в траншеях,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,49.601,95.0,4712.1,True
1-4-6,Зачищення дна і укосів котлованів і траншей,100 м2,машина,С201-2,Бульдозер / трамбівка,маш.-год,0.5,600,300.0,True
1-4-6,Зачищення дна і укосів котлованів і траншей,100 м2,матеріал,С300-1,Пальне дизельне (орієнтовно),л,4.25,55,233.75,True
1-4-6,Зачищення дна і укосів котлованів і траншей,100 м2,матеріал,С300-2,Мастильні матеріали,кг,0.2125,120,25.5,True
1-4-6,Зачищення дна і укосів котлованів і траншей,100 м2,труд_робітників,Т1,"Труд робітників, розряд 2.8",люд.-год,9.043,95.0,859.08,True
1-4-6,Зачищення дна і укосів котлованів і траншей,100 м2,труд_машиністів,Т2,Труд машиністів,люд.-год,0.5,110.0,55.0,True
1-5-1,Засипання пазух котлованів ґрунтом з ущільненням вручну,100 м3,матеріал,С311-1,Перевезення ґрунту (за потреби),т,0.0,,,True
1-5-1,Засипання пазух котлованів ґрунтом з ущільненням вручну,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.5",люд.-год,45.444,95.0,4317.18,True
1-5-2,Засипання пазух котлованів бульдозером з ущільненням,100 м3,машина,С201-1,Бульдозер 79 кВт,маш.-год,1.2088,850,1027.47,True
1-5-2,Засипання пазух котлованів бульдозером з ущільненням,100 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,10.27,55,564.85,True
1-5-2,Засипання пазух котлованів бульдозером з ущільненням,100 м3,матеріал,С300-2,Мастильні матеріали,кг,0.5137,120,61.64,True
1-5-2,Засипання пазух котлованів бульдозером з ущільненням,100 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,0.813,95.0,77.23,True
1-5-2,Засипання пазух котлованів бульдозером з ущільненням,100 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.209,110.0,132.99,True
1-5-3,Ущільнення ґрунту пневмотрамбівками,100 м3,машина,С201-2,Бульдозер / трамбівка,маш.-год,0.5,600,300.0,True
1-5-3,Ущільнення ґрунту пневмотрамбівками,100 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,4.25,55,233.75,True
1-5-3,Ущільнення ґрунту пневмотрамбівками,100 м3,матеріал,С300-2,Мастильні матеріали,кг,0.2125,120,25.5,True
1-5-3,Ущільнення ґрунту пневмотрамбівками,100 м3,труд_робітників,Т1,"Труд робітників, розряд 2.8",люд.-год,9.134,95.0,867.73,True
1-5-3,Ущільнення ґрунту пневмотрамбівками,100 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,0.5,110.0,55.0,True
1-5-4,Ущільнення ґрунту катками,1000 м3,машина,С201-2,Бульдозер / трамбівка,маш.-год,0.5,600,300.0,True
1-5-4,Ущільнення ґрунту катками,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,4.25,55,233.75,True
1-5-4,Ущільнення ґрунту катками,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,0.2125,120,25.5,True
1-5-4,Ущільнення ґрунту катками,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 2.8",люд.-год,9.296,95.0,883.12,True
1-5-4,Ущільнення ґрунту катками,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,0.5,110.0,55.0,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5802,1200,1896.3,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2535,700,877.45,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,24.09,55,1324.95,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2043,120,144.52,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.107,95.0,105.16,True
1-6-1,Навантаження ґрунту екскаватором у автосамоскиди,1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.58,110.0,173.8,True
1-6-2,Перевезення ґрунту автосамоскидами до 1 км,1000 м3,матеріал,С301-1,Допоміжні матеріали,компл,1.0,150,150.0,True
1-6-2,Перевезення ґрунту автосамоскидами до 1 км,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.2",люд.-год,2.554,95.0,242.63,True
1-6-3,Додавати на кожний наступний 1 км перевезення,1000 м3,матеріал,С301-1,Допоміжні матеріали,компл,1.0,150,150.0,True
1-6-3,Додавати на кожний наступний 1 км перевезення,1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.2",люд.-год,2.522,95.0,239.59,True
5-1-1,Занурення залізобетонних паль молотами,м3,машина,С210-1,Кран / бетононасос,маш.-год,0.6,1500,900.0,True
5-1-1,Занурення залізобетонних паль молотами,м3,машина,С211-1,Вібратор глибинний,маш.-год,0.8,120,96.0,True
5-1-1,Занурення залізобетонних паль молотами,м3,матеріал,С120-1,Бетон товарний В15–В25,м3,1.02,3200,3264.0,True
5-1-1,Занурення залізобетонних паль молотами,м3,матеріал,С121-1,Вода,м3,0.2,40,8.0,True
5-1-1,Занурення залізобетонних паль молотами,м3,труд_робітників,Т1,"Труд робітників, розряд 3.5",люд.-год,6.869,95.0,652.55,True
5-1-1,Занурення залізобетонних паль молотами,м3,труд_машиністів,Т2,Труд машиністів,люд.-год,0.6,110.0,66.0,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,машина,С210-1,Кран / бетононасос,маш.-год,0.6,1500,900.0,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,машина,С211-1,Вібратор глибинний,маш.-год,0.8,120,96.0,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,матеріал,С120-1,Бетон товарний В15–В25,м3,1.02,3200,3264.0,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,матеріал,С121-1,Вода,м3,0.2,40,8.0,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,труд_робітників,Т1,"Труд робітників, розряд 3.5",люд.-год,6.596,95.0,626.62,True
5-1-2,Занурення залізобетонних паль віброзанурювачами,м3,труд_машиністів,Т2,Труд машиністів,люд.-год,0.6,110.0,66.0,True
5-1-3,Улаштування буронабивних паль,м3,матеріал,С190-1,Прилад санітарний / опалювальний,шт,1.0,3500,3500.0,True
5-1-3,Улаштування буронабивних паль,м3,матеріал,С191-1,Підводка / кріплення / арматура,компл,1.0,650,650.0,True
5-1-3,Улаштування буронабивних паль,м3,матеріал,С192-1,Герметик / ущільнювачі,компл,1.0,80,80.0,True
5-1-3,Улаштування буронабивних паль,м3,труд_робітників,Т1,"Труд робітників, розряд 4.0",люд.-год,3.963,95.0,376.49,True
5-2-1,Зрізання голів паль,шт,машина,С250-m,Копер / бурова установка / кран,маш.-год,2.0,2200,4400.0,True
5-2-1,Зрізання голів паль,шт,матеріал,С260-1,Палі / бетон / метал посилення,компл,1.0,15000,15000.0,True
5-2-1,Зрізання голів паль,шт,труд_робітників,Т1,"Труд робітників, розряд 3.8",люд.-год,9.729,95.0,924.25,True
5-2-1,Зрізання голів паль,шт,труд_машиністів,Т2,Труд машиністів,люд.-год,2.0,110.0,220.0,True
5-2-2,Улаштування монолітних ростверків,м3,машина,С210-1,Кран / бетононасос,маш.-год,0.6,1500,900.0,True
5-2-2,Улаштування монолітних ростверків,м3,машина,С211-1,Вібратор глибинний,маш.-год,0.8,120,96.0,True
5-2-2,Улаштування монолітних ростверків,м3,матеріал,С120-1,Бетон товарний В15–В25,м3,1.02,3200,3264.0,True
5-2-2,Улаштування монолітних ростверків,м3,матеріал,С121-1,Вода,м3,0.2,40,8.0,True
5-2-2,Улаштування монолітних ростверків,м3,труд_робітників,Т1,"Труд робітників, розряд 3.5",люд.-год,7.204,95.0,684.38,True
5-2-2,Улаштування монолітних ростверків,м3,труд_машиністів,Т2,Труд машиністів,люд.-год,0.6,110.0,66.0,True
6-1-1,Улаштування фундаментів бетонних стрічкових,100 м3,машина,С210-1,Кран / бетононасос,маш.-год,0.6,1500,900.0,True
6-1-1,Улаштування фундаментів бетонних стрічкових,100 м3,машина,С211-1,Вібратор глибинний,маш.-год,0.8,120,96.0,True
