npp,shifr,nazva,komentar_obsyagu,odynytsya,kilkist,tsina_za_od_uah,suma_uah,trud_lyud_god,trud_vsogo_lyud_god,zbirnyk,dstu
11,ЕД6-8-1,Улаштування сходових маршів залізобетонних,Сходові марші (100 м3),100 м3,0.08,456510.75,36520.86,842.373,67.39,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
12,ЕД6-8-3,Улаштування крилець і пандусів,Крильця і пандуси (100 м3),100 м3,0.05,10422.92,521.15,108.136,5.41,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
13,ЕД8-3-4,Бокова обмазувальна ізоляція бітумною мастикою в 2 шари,Бокова обмазувальна гідроізоляція фундаментів (100 м2),100 м2,1.8,72577.93,130640.27,62.594,112.67,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
14,ЕД8-22-1,"Мурування зовнішніх стін із газобетонних блоків на клею, товщина 300 мм",Зовнішні стіни з газобетону 300 мм (м3),м3,280,3912.75,1095570.0,3.871,1083.88,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
15,ЕД8-22-3,Мурування внутрішніх стін із газобетонних блоків на клею,Внутрішні стіни з газобетону (м3),м3,90,3933.65,354028.5,4.091,368.19,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
16,ЕД8-25-2,Улаштування перегородок товщиною 150 мм на клею,Перегородки газобетон 150 мм (100 м2),100 м2,4.5,7519.7,33838.65,41.839,188.28,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
17,ЕД8-22-5,Улаштування монолітного армопоясу по газобетонних стінах,Армопояс по стінах (м3),м3,25,3985.61,99640.25,4.638,115.95,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
18,ЕД8-36-1,Установлення і розбирання трубчастих риштувань для мурування висотою до 16 м,Зовнішні риштування (100 м2),100 м2,3.5,7279.43,25478.01,48.715,170.5,Конструкції з цегли та блоків,ДСТУ Б Д.2.2-8:2016
19,ЕД12-1-1,Улаштування пароізоляції рулонної,Пароізоляція покрівлі (100 м2),100 м2,9.0,32010.9,288098.1,96.62,869.58,Покрівлі,ДСТУ Б Д.2.2-12:2012
20,ЕД12-1-3,Улаштування утеплювача товщиною 150–250 мм,Утеплення покрівлі 150–250 мм (100 м2),100 м2,9.0,31699.49,285295.41,93.342,840.08,Покрівлі,ДСТУ Б Д.2.2-12:2012
21,ЕД12-3-1,Улаштування покрівлі з металочерепиці,Покрівля з металочерепиці (100 м2),100 м2,9.5,51901.28,493062.16,114.224,1085.13,Покрівлі,ДСТУ Б Д.2.2-12:2012
22,ЕД12-4-1,Улаштування ринв підвісних,Ринви (100 м),100 м,1.2,29600.45,35520.54,70.531,84.64,Покрівлі,ДСТУ Б Д.2.2-12:2012
23,ЕД12-4-2,Улаштування водостічних труб,Водостічні труби (100 м),100 м,0.8,31289.28,25031.42,89.024,71.22,Покрівлі,ДСТУ Б Д.2.2-12:2012
24,ЕД11-1-4,Улаштування стяжки цементної товщиною 50 мм,Стяжка 50 мм (100 м2),100 м2,8.5,23336.95,198364.08,108.81,924.88,Підлоги,ДСТУ Б Д.2.2-11:2012
25,ЕД11-1-8,Гідроізоляція підлоги обмазувальна в 2 шари,Гідроізоляція мокрих зон (100 м2),100 м2,1.8,66173.67,119112.61,134.986,242.97,Підлоги,ДСТУ Б Д.2.2-11:2012
26,ЕД11-2-5,Улаштування підлог у мокрих приміщеннях із гідроізоляцією,Плитка в санвузлах/кухні (100 м2),100 м2,1.8,66929.2,120472.56,142.939,257.29,Підлоги,ДСТУ Б Д.2.2-11:2012
27,ЕД11-3-1,Улаштування підлог із лінолеуму на клейовій основі,Лінолеум у житлових/коридорах (100 м2),100 м2,4.5,58134.85,261606.82,55.63,250.34,Підлоги,ДСТУ Б Д.2.2-11:2012
28,ЕД11-4-2,Улаштування підлог із ламінату по підкладці,Ламінат в адмін/кімнатах персоналу (100 м2),100 м2,2.2,85674.32,188483.5,83.677,184.09,Підлоги,ДСТУ Б Д.2.2-11:2012
29,ЕД15-1-3,Покращене штукатурне опорядження стін по газобетону,Штукатурка стін по газобетону (100 м2),100 м2,12.0,7845.37,94144.44,45.267,543.2,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
30,ЕД15-1-8,Тонкошарова штукатурка гіпсова по стінах,Гіпсова тонкошарова штукатурка (100 м2),100 м2,10.0,28985.08,289850.8,178.264,1782.64,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
31,ЕД15-3-4,Облицювання стін у санвузлах на всю висоту,Облицювання санвузлів плиткою (100 м2),100 м2,2.2,67873.76,149322.27,184.987,406.97,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
32,ЕД15-4-2,Фарбування стін водоемульсійними складами високоякісне,Фарбування стін високоякісне (100 м2),100 м2,14.0,14442.25,202191.5,73.971,1035.59,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
33,ЕД15-4-4,Фарбування стель водоемульсійними складами високоякісне,Фарбування стель високоякісне (100 м2),100 м2,8.5,14581.9,123946.15,75.441,641.25,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
34,ЕД15-6-1,Улаштування стель із гіпсокартону по металевому каркасу в 1 рівень,Підшивні стелі ГКЛ (100 м2),100 м2,6.0,53172.27,319033.62,162.866,977.2,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
35,ЕД15-2-2,Декоративне штукатурне опорядження фасадів «короїд/баранець»,Декоративна штукатурка фасаду (100 м2),100 м2,6.5,27451.21,178432.86,162.118,1053.77,Оздоблювальні роботи,ДСТУ Б Д.2.2-15:2012
36,ЕД17-1-1,Установлення умивальників з тумбою або на кронштейнах,Умивальники (шт),шт,28,4622.54,129431.12,4.132,115.7,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
37,ЕД17-1-3,Установлення унітазів з бачком компакт,Унітази (шт),шт,22,4613.99,101507.78,4.042,88.92,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
38,ЕД17-1-6,Установлення душових піддонів,Душові піддони (шт),шт,12,4635.37,55624.44,4.267,51.2,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
39,ЕД17-1-8,Установлення змішувачів умивальника,Змішувачі умивальників (шт),шт,28,4588.25,128471.0,3.771,105.59,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
40,ЕД17-2-2,Прокладання труб каналізаційних ПВХ діаметром 110 мм,Каналізація ПВХ 110 мм (100 м),100 м,3.5,73812.1,258342.35,181.18,634.13,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
41,ЕД17-2-1,Прокладання труб каналізаційних ПВХ діаметром 50 мм,Каналізація ПВХ 50 мм (100 м),100 м,2.8,72817.45,203888.86,170.71,477.99,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
42,ЕД17-3-1,Прокладання труб водопроводу ППР діаметром 20 мм,Водопровід ППР 20 мм (100 м),100 м,4.0,74007.04,296028.16,183.232,732.93,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
43,ЕД17-3-2,Прокладання труб водопроводу ППР діаметром 25 мм,Водопровід ППР 25 мм (100 м),100 м,2.0,73161.54,146323.08,174.332,348.66,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
44,ЕД17-3-6,Установлення водолічильників з обв'язкою,Вузли обліку води (шт),шт,2,794.57,1589.14,2.406,4.81,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
45,ЕД17-3-10,Гідравлічне випробування системи водопроводу,Гідравлічне випробування водопроводу (система),система,1,769.11,769.11,2.138,2.14,Водопровід і каналізація – внутрішнє обладнання,ДСТУ Б Д.2.2-17:2012
46,ЕД18-1-2,Установлення радіаторів панельних сталевих,Радіатори панельні (шт),шт,65,4621.69,300409.85,4.123,268.0,Опалення – внутрішнє обладнання,ДСТУ Б Д.2.2-18:2012
47,ЕД18-2-1,Установлення котлів опалювальних настінних газових/електричних,Котли настінні (шт),шт,2,4569.44,9138.88,3.573,7.15,Опалення – внутрішнє обладнання,ДСТУ Б Д.2.2-18:2012
48,ЕД18-2-4,Установлення циркуляційних насосів,Циркуляційні насоси (шт),шт,4,4566.77,18267.08,3.545,14.18,Опалення – внутрішнє обладнання,ДСТУ Б Д.2.2-18:2012
49,ЕД18-3-2,Прокладання трубопроводів опалення ППР/PEX діаметром 16–20 мм,Труби опалення PEX/ППР 16–20 (100 м),100 м,5.5,71917.9,395548.45,161.241,886.83,Опалення – внутрішнє обладнання,ДСТУ Б Д.2.2-18:2012
50,ЕД18-3-5,Гідравлічне випробування системи опалення,Гідравлічне випробування опалення (система),система,1,792.19,792.19,2.381,2.38,Опалення – внутрішнє обладнання,ДСТУ Б Д.2.2-18:2012
51,ЕД20-1-1,"Улаштування повітроводів з оцинкованої сталі товщиною до 0,5 мм класу Н",Повітроводи оцинковані (100 м2),100 м2,2.5,62493.99,156234.98,222.042,555.11,Вентиляція та кондиціонування повітря,ДСТУ Б Д.2.2-20:2012
52,ЕД20-2-3,Установлення припливно-витяжних установок до 2000 м3/год,ПВУ до 2000 м3/год (шт),шт,4,21395.94,85583.76,9.431,37.72,Вентиляція та кондиціонування повітря,ДСТУ Б Д.2.2-20:2012
53,ЕД20-2-5,Установлення решіток і дифузорів,Решітки/дифузори (шт),шт,80,699.76,55980.8,3.008,240.64,Вентиляція та кондиціонування повітря,ДСТУ Б Д.2.2-20:2012
54,ЕД20-3-1,Установлення спліт-систем побутових (внутрішній + зовнішній блоки),Спліт-системи адмін/медблок (шт),шт,10,2548.76,25487.6,6.487,64.87,Вентиляція та кондиціонування повітря,ДСТУ Б Д.2.2-20:2012
55,ЕД21-1-1,Прокладання кабелів у штробах з подальшим заробленням,Кабелі в штробах (100 м),100 м,8.0,22248.81,177990.48,127.198,1017.58,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
56,ЕД21-1-3,Прокладання кабелів у коробах по стінах,Кабелі в коробах (100 м),100 м,3.0,21731.53,65194.59,121.753,365.26,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
57,ЕД21-2-3,Установлення розеток з заземленням прихованої проводки,Розетки (100 шт),100 шт,2.5,8110.94,20277.35,58.273,145.68,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
58,ЕД21-2-1,Установлення вимикачів однокнопочних прихованої проводки,Вимикачі (100 шт),100 шт,1.2,48222.79,57867.35,97.082,116.5,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
59,ЕД21-3-2,Установлення світильників вбудованих у підвісну стелю,Світильники вбудовані (100 шт),100 шт,1.8,49268.45,88683.21,108.089,194.56,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
60,ЕД21-3-1,Установлення світильників стельових накладних,Світильники накладні (100 шт),100 шт,0.8,59689.68,47751.74,130.944,104.76,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
61,ЕД21-4-2,Установлення щитів розподільних 24–48 модулів,Щити 24–48 модулів (шт),шт,8,525.28,4202.24,1.424,11.39,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
62,ЕД21-4-5,Улаштування контуру заземлення (вертикальні електроди),Контур заземлення (шт),шт,1,3908.7,3908.7,14.039,14.04,Електроосвітлення будинків,ДСТУ Б Д.2.2-21:2012
63,ЕД26-1-2,Улаштування ССТІ з мінвати 100–150 мм з декоративною штукатуркою,ССТІ фасаду (100 м2),100 м2,6.5,28095.31,182619.52,168.898,1097.84,Теплоізоляційні роботи,ДСТУ Б Д.2.2-26:2012
64,ЕД22-1-1,Укладання труб ПЕ діаметром до 63 мм зварюванням,Водопровід зовнішній ПЕ до 110 (100 м),100 м,0.8,72880.62,58304.5,171.375,137.1,Водопровід – зовнішні мережі,ДСТУ Б Д.2.2-22:2012
65,ЕД23-1-1,Укладання труб ПВХ/ПП діаметром 110 мм,Каналізація зовнішня 160 мм (100 м),100 м,0.9,75123.48,67611.13,194.984,175.49,Каналізація – зовнішні мережі,ДСТУ Б Д.2.2-23:2012
66,ЕД23-2-1,Улаштування оглядових колодязів зі збірних кілець d=1 м,Оглядові колодязі (шт),шт,6,13087.87,78527.22,18.946,113.68,Каналізація – зовнішні мережі,ДСТУ Б Д.2.2-23:2012
67,ЕД27-2-3,Улаштування покриття з тротуарної плитки (ФЕМ) 6 см,Тротуарна плитка (100 м2),100 м2,4.0,65732.11,262928.44,130.338,521.35,Автомобільні дороги,ДСТУ Б Д.2.2-27:2012
68,ЕД27-3-1,Установлення бортових каменів дорожніх БР100.30.15,Бордюри (100 м),100 м,1.5,32794.94,49192.41,58.071,87.11,Автомобільні дороги,ДСТУ Б Д.2.2-27:2012
69,ЕД47-2-3,Улаштування газонів партерних посівом,Газони (100 м2),100 м2,3.5,12727.93,44547.76,50.294,176.03,Озеленення. Захисні лісонасадження. Багаторічні плодові насадження,ДСТУ Б Д.2.2-47:2012
70,ЕД47-2-1,"Посадка дерев листяних із грудкою до 0,5×0,4 м",Посадка дерев (шт),шт,35,14477.93,506727.55,9.294,325.29,Озеленення. Захисні лісонасадження. Багаторічні плодові насадження,ДСТУ Б Д.2.2-47:2012
